[ 2023-08-06 13:08:44,776 ] 225 werkzeug - WARNING -  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
[ 2023-08-06 13:08:44,777 ] 225 werkzeug - INFO -  * Running on http://192.168.1.4:9090/ (Press CTRL+C to quit)
[ 2023-08-06 13:08:53,220 ] 225 werkzeug - INFO - 127.0.0.1 - - [06/Aug/2023 13:08:53] "GET /predictdata HTTP/1.1" 200 -
[ 2023-08-06 13:08:55,096 ] 225 werkzeug - INFO - 127.0.0.1 - - [06/Aug/2023 13:08:55] "[33mGET /css/materialize.min.css HTTP/1.1[0m" 404 -
[ 2023-08-06 13:09:34,385 ] 225 werkzeug - INFO - 127.0.0.1 - - [06/Aug/2023 13:09:34] "POST /predictdata HTTP/1.1" 200 -
[ 2023-08-06 13:09:34,454 ] 225 werkzeug - INFO - 127.0.0.1 - - [06/Aug/2023 13:09:34] "[33mGET /css/materialize.min.css HTTP/1.1[0m" 404 -
[ 2023-08-06 13:10:58,475 ] 225 werkzeug - INFO - 127.0.0.1 - - [06/Aug/2023 13:10:58] "GET /predictdata HTTP/1.1" 200 -
[ 2023-08-06 13:10:58,713 ] 225 werkzeug - INFO - 127.0.0.1 - - [06/Aug/2023 13:10:58] "[33mGET /css/materialize.min.css HTTP/1.1[0m" 404 -
[ 2023-08-06 13:11:03,725 ] 225 werkzeug - INFO - 127.0.0.1 - - [06/Aug/2023 13:11:03] "GET /predictdata HTTP/1.1" 200 -
[ 2023-08-06 13:11:03,860 ] 225 werkzeug - INFO - 127.0.0.1 - - [06/Aug/2023 13:11:03] "[33mGET /css/materialize.min.css HTTP/1.1[0m" 404 -
